상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점,긍정리뷰비율,부정리뷰비율,품질언급비율,가성비언급비율,배송언급비율,저평점비율,최근 30일 리뷰비율,품질(긍정),품질(부정),구성/가성비(긍정),구성/가성비(부정),배송(긍정),배송(부정)
12274373440,kurly's,12,가공육,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270,23222,223,4.85,0.89,0.11,0.96,0.54,0.49,0.01,0.09,맛있음,맛,가성비,가성비,배송,배송
12844358168,kurly's,13,가공육,[Kurly's] 한돈 삼겹 베이컨,11,4800,100,48000,467,4.89,0.89,0.11,0.93,0.47,0.39,0.0,0.11,맛,맛,가성비,가성비,배송,배송
12275472500,kurly's,15,달걀,[Kurly's] 동물복지 유정란 30구 (15구*2ea),0,15150,30,50500,1533,4.82,0.79,0.21,0.93,0.49,0.67,0.08,0.12,신선함,계란깨짐,가성비,가성비,배송,배송
12274348780,kurly's,16,달걀,[Kurly's] 동물복지 백색 유정란 10구,0,6000,10,60000,575,4.84,0.88,0.12,0.92,0.47,0.57,0.03,0.12,신선함,맛,가성비,없음,배송,배송
12274367010,kurly's,19,달걀,[Kurly's] 동물복지 구운란 20구,0,13000,20,65000,145,4.83,0.8,0.2,0.93,0.51,0.53,0.01,0.15,맛,맛,가성비,가성비,배송,배송
12274681314,kurly's,20,가공육,[Kurly's] 동물복지 닭 다리살 500g,5,12255,500,9804,2667,4.87,0.78,0.22,0.92,0.42,0.42,0.07,0.02,맛있음,맛,가성비,가성비없음,배송,배송
12274608984,kurly's,22,가공육,[Kurly's] 1++ 한우 불고기 250g (냉장),20,14880,250,113088,61,4.66,0.78,0.22,0.93,0.5,0.47,0.03,0.1,맛있음,맛,가성비,가성비,배송,배송
12579228401,kurly's,23,달걀,[Kurly's] 동물복지 백색 유정란 15구,0,8290,15,55267,1034,4.82,0.83,0.17,0.93,0.49,0.56,0.03,0.07,신선함,맛,가성비,가격,배송,배송
12274379010,kurly's,25,가공육,[Kurly's] 한돈 떡갈비 (120g*2입),20,4700,240,37208,242,4.83,0.87,0.13,0.92,0.62,0.45,0.01,0.18,맛있음,맛,가성비,가성비,배송,배송
12275411947,kurly's,28,정육,"[골라담기] Kurly's 1++ 한우 7종, 택1",25,33700,250,323520,401,4.8,0.78,0.22,0.93,0.47,0.46,0.03,0.18,맛있음,맛,가성비,가성비,배송,배송
12273071106,kurly's,30,달걀,[Kurly's] 동물복지 반숙란 20구,0,13000,20,65000,187,4.87,0.33,0.67,0.67,0.67,0.67,0.67,0.0,신선함,껍질까기어려움,고소함,맛별로,키워드 없음,배송
12274607362,kurly's,32,가공육,[Kurly's] 1++ 한우 양지 250g (냉장),11,22150,250,88600,74,4.61,0.83,0.17,0.93,0.54,0.44,0.04,0.21,맛있음,맛,가성비,가성비,배송,배송
12275335043,kurly's,34,정육,[Kurly's] 1++ 한우 등심 250g (냉장),25,33700,250,323520,15,4.67,0.85,0.15,0.92,0.46,0.31,0.08,0.31,맛있음,식감,맛있음,키워드 없음,배송,키워드 없음
13170929063,kurly's,37,달걀,[Kurly's] 동물복지 유정 왕란 15구,0,8790,15,58600,52,4.79,0.84,0.16,0.91,0.51,0.67,0.04,0.02,맛,맛,가성비,가성비,배송,배송
